,Unnamed: 0,Site,Raw,Spatial,Temporal,Spatial_N,Temporal_N,Improved
0,0,1.4754301973929007,4.171428571428572,4.085714285714285,4.242857142857143,3.3085714285714287,4.2457142857142856,4.167319183148668
1,1,2.307256816029549,4.174285714285714,4.077142857142857,4.151428571428571,3.325714285714286,4.142857142857143,4.161190196248709
2,2,2.97418607711792,4.631428571428572,4.58,4.291428571428571,3.64,4.288571428571428,4.613418965524117
3,3,3.0399846568399544,4.6085714285714285,4.534285714285714,4.265714285714286,3.58,4.257142857142857,4.589704541521556
4,4,3.185244219303131,4.542857142857143,4.465714285714286,4.14,3.54,4.131428571428572,4.52595967561501
5,5,3.0994462645053864,4.3342857142857145,4.3342857142857145,4.18,3.4714285714285715,4.177142857142857,4.327417680738972
6,6,2.840385630130768,4.14,4.091428571428571,4.08,3.2885714285714287,4.065714285714286,4.13000862090197
7,7,2.594862130880356,3.66,3.557142857142857,3.985714285714285,2.902857142857143,3.94,3.661032115530168
8,8,2.927128264904022,4.274285714285714,4.194285714285714,3.86,3.3542857142857145,3.774285714285714,4.253280650643959
9,9,2.899863275056033,4.711428571428572,4.66,3.837142857142857,3.671428571428572,3.665714285714286,4.691566102235458
10,10,2.8047261834144592,3.954285714285714,3.868571428571428,4.088571428571429,3.125714285714285,3.897142857142857,3.953464495375285
11,11,2.966521784823428,4.182857142857143,4.231428571428571,4.08,3.34,4.017142857142857,4.177728447266126
12,12,1.231336327134699,4.24,4.12,4.174285714285714,3.334285714285714,4.18,4.223403776063284
13,13,0.2364593425403452,1.1111111111111112,1.163888888888889,1.1305555555555555,0.7805555555555556,1.1305555555555555,1.128436002363267
14,14,0.3430590699944231,1.1222222222222222,1.147222222222222,1.0527777777777778,0.7833333333333333,1.0527777777777778,1.1266186171993458
15,15,0.8874127344049588,1.1222222222222222,1.1972222222222222,1.088888888888889,0.8194444444444444,1.088888888888889,1.1331718162443254
16,16,0.9453463102738882,1.0027777777777778,1.038888888888889,0.9,0.711111111111111,0.8972222222222221,1.0064106582464556
17,17,0.7417079359292984,0.6,0.625,0.7527777777777778,0.4305555555555555,0.7527777777777778,0.6129358626096877
18,18,0.8542677279223095,0.7833333333333333,0.8333333333333334,0.7194444444444444,0.5694444444444444,0.7194444444444444,0.793020126100852
19,19,1.0462204370026786,1.0805555555555555,1.147222222222222,1.136111111111111,0.775,1.1333333333333333,1.0963764341418585
20,20,0.7846946299684291,1.2166666666666666,1.3583333333333334,1.3944444444444444,0.9527777777777778,1.4,1.2428268505940363
21,21,0.1893762346771028,1.113888888888889,1.2,1.047222222222222,0.8333333333333334,1.047222222222222,1.1277029916244494
22,22,3.438046001658148,4.502857142857144,4.345714285714285,4.342857142857143,3.5,4.357142857142857,4.478822387371596
23,23,3.453388139009476,4.262857142857143,4.16,4.342857142857143,3.38,4.348571428571429,4.247394078105583
24,24,3.346964302062988,4.171428571428572,4.085714285714285,4.242857142857143,3.3085714285714287,4.2457142857142856,4.167319183148668
25,25,3.0958115351200104,4.174285714285714,4.077142857142857,4.151428571428571,3.325714285714286,4.142857142857143,4.161190196248709
26,26,3.252530137213265,4.631428571428572,4.58,4.291428571428571,3.64,4.288571428571428,4.613418965524117
27,27,3.1791481554508207,4.6085714285714285,4.534285714285714,4.265714285714286,3.58,4.257142857142857,4.589704541521556
28,28,3.0435682315936035,4.542857142857143,4.465714285714286,4.14,3.54,4.131428571428572,4.52595967561501
29,29,2.95872177337778,4.051428571428572,3.8657142857142857,4.317142857142857,3.0571428571428574,4.311428571428571,4.050891911768455
30,30,3.072913627624512,4.3342857142857145,4.3342857142857145,4.18,3.4714285714285715,4.177142857142857,4.327417680738972
31,31,2.88330792427063,4.274285714285714,4.171428571428572,4.18,3.3685714285714283,4.168571428571428,4.261161379003659
32,32,2.2849263310432435,4.0600000000000005,3.948571428571429,3.985714285714285,3.225714285714286,3.962857142857143,4.049067707318216
33,33,2.7741364467144014,4.274285714285714,4.194285714285714,3.86,3.3542857142857145,3.774285714285714,4.253280650643959
34,34,2.998459095954895,4.711428571428572,4.66,3.837142857142857,3.671428571428572,3.665714285714286,4.691566102235458
35,35,2.6512297022342683,3.954285714285714,3.868571428571428,4.088571428571429,3.125714285714285,3.897142857142857,3.953464495375285
36,36,2.897696032524109,4.188571428571429,4.148571428571429,4.0685714285714285,3.34,4.062857142857142,4.178482574282564
37,37,2.633760989904404,4.157142857142857,4.162857142857143,4.125714285714286,3.34,4.105714285714286,4.156731063138176
38,38,3.1358528226614,3.237142857142857,2.9857142857142858,4.622857142857143,2.5142857142857142,4.6,3.234516013192329
39,39,3.632887125015259,5.031428571428572,4.931428571428572,4.1657142857142855,3.885714285714285,4.137142857142857,5.007782155450173
40,40,3.6639701628685,4.7942857142857145,4.7457142857142856,4.368571428571428,3.7542857142857136,4.362857142857143,4.777697241868068
41,41,3.471481555700302,4.082857142857143,3.968571428571429,4.511428571428572,3.242857142857143,4.514285714285714,4.086416066793584
42,42,3.6747236490249633,4.605714285714286,4.468571428571428,4.2457142857142856,3.565714285714286,4.24,4.580799324742749
43,43,3.5214618384838103,4.262857142857143,4.177142857142857,4.277142857142858,3.3714285714285714,4.274285714285714,4.256846180424242
44,44,3.0709048461914064,3.982857142857143,3.888571428571429,4.085714285714285,3.185714285714286,4.085714285714285,3.9768992591579257
45,45,2.602873686588172,4.031428571428572,3.885714285714285,4.031428571428572,3.1942857142857144,4.0285714285714285,4.011271739914134
46,46,0.9085640341651684,1.125,1.1444444444444444,1.1805555555555556,0.7861111111111111,1.1805555555555556,1.1394642755890012
47,47,0.9023329992683566,1.1111111111111112,1.163888888888889,1.1305555555555555,0.7805555555555556,1.1305555555555555,1.128436002363267
48,48,0.7250641719251871,1.1222222222222222,1.147222222222222,1.0527777777777778,0.7833333333333333,1.0527777777777778,1.1266186171993458
49,49,0.6627595347888542,1.0333333333333334,1.0944444444444446,1.022222222222222,0.7555555555555555,1.0305555555555554,1.046113263516209
50,50,1.2048596016441782,1.5722222222222222,1.6305555555555558,1.3055555555555556,1.136111111111111,1.3111111111111111,1.57049923400854
51,51,1.1676610479229377,1.222222222222222,1.3194444444444444,1.3305555555555555,0.913888888888889,1.338888888888889,1.2409834630629086
52,52,0.9956112443184366,1.3944444444444444,1.461111111111111,1.1916666666666669,1.0166666666666666,1.1944444444444444,1.3971933028842018
53,53,0.959550081467142,1.2083333333333337,1.2944444444444445,1.1666666666666663,0.8944444444444445,1.1694444444444445,1.2164423063181151
54,54,0.7618289583921433,1.113888888888889,1.2,1.047222222222222,0.8333333333333334,1.047222222222222,1.1277029916244494
55,55,3.577583986520767,4.262857142857143,4.16,4.342857142857143,3.38,4.348571428571429,4.247394078105583
56,56,3.191286604429029,4.157142857142857,4.131428571428572,4.302857142857143,3.334285714285714,4.305714285714286,4.158085433417943
57,57,3.058441921918079,4.394285714285714,4.3342857142857145,4.148571428571429,3.4857142857142853,4.134285714285714,4.380519704811901
58,58,3.0895254516601565,3.828571428571428,3.74,4.262857142857143,3.0885714285714285,4.254285714285714,3.830932172795466
59,59,2.7351450703360816,4.248571428571429,4.125714285714286,4.177142857142857,3.2457142857142856,4.174285714285714,4.236551896590015
60,60,2.924640597795185,4.134285714285714,4.151428571428571,4.374285714285714,3.331428571428572,4.357142857142857,4.13776150270151
61,61,3.269928284883499,4.631428571428572,4.58,4.291428571428571,3.64,4.288571428571428,4.613418965524117
62,62,3.113020700216293,4.6085714285714285,4.534285714285714,4.265714285714286,3.58,4.257142857142857,4.589704541521556
63,63,2.959546066522598,4.542857142857143,4.465714285714286,4.14,3.54,4.131428571428572,4.52595967561501
64,64,2.8981251549720763,4.274285714285714,4.171428571428572,4.18,3.3685714285714283,4.168571428571428,4.261161379003659
65,65,2.489506472349167,4.0600000000000005,3.948571428571429,3.985714285714285,3.225714285714286,3.962857142857143,4.049067707318216
66,66,2.3134083771705627,3.66,3.557142857142857,3.985714285714285,2.902857142857143,3.94,3.661032115530168
67,67,2.088070327043533,4.274285714285714,4.194285714285714,3.86,3.3542857142857145,3.774285714285714,4.253280650643959
68,68,2.585391492843628,3.668571428571428,3.482857142857143,4.18,2.857142857142857,4.0600000000000005,3.65894395644352
69,69,2.541661446094513,4.711428571428572,4.66,3.837142857142857,3.671428571428572,3.665714285714286,4.691566102235458
70,70,2.14173627929923,4.151428571428571,4.031428571428572,4.085714285714285,3.26,3.977142857142857,4.136617043945882
71,71,2.798853007555008,4.182857142857143,4.231428571428571,4.08,3.34,4.017142857142857,4.177728447266126
72,72,2.5335572801455104,4.188571428571429,4.148571428571429,4.0685714285714285,3.34,4.062857142857142,4.178482574282564
73,73,3.04991832613945,4.477142857142857,4.411428571428571,4.1085714285714285,3.4857142857142853,4.082857142857143,4.456794067190405
74,74,3.3854879260063173,4.7942857142857145,4.7457142857142856,4.368571428571428,3.7542857142857136,4.362857142857143,4.777697241868068
75,75,3.7973266960394505,4.082857142857143,3.968571428571429,4.511428571428572,3.242857142857143,4.514285714285714,4.086416066793584
76,76,3.658497378826141,4.605714285714286,4.468571428571428,4.2457142857142856,3.565714285714286,4.24,4.580799324742749
77,77,3.333582335710525,4.017142857142857,3.908571428571429,4.1657142857142855,3.197142857142857,4.168571428571428,4.0158461528744365
